Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†, flag","Shiga toxin-producing Escherichia coli, Current week","Shiga toxin-producing Escherichia coli, Current week, flag","Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli, Cum 2019†","Shiga toxin-producing Escherichia coli, Cum 2019†, flag","Shiga toxin-producing Escherichia coli, Cum 2018†","Shiga toxin-producing Escherichia coli, Cum 2018†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag","Shigellosis, Cum 2018†","Shigellosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
US RESIDENTS,2019,1,,-,0,,,-,,-,17,,417,,17,,79,,51,,452,,51,,188,,,US RESIDENTS,20190101
IOWA,2019,1,,-,0,,,-,,-,1,,38,,1,,4,,,-,7,,,-,2,,"IOWA
(42.074659, -93.500061)",,20190121
ALASKA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20190158
NEW YORK,2019,1,,-,0,,,-,,-,,-,17,,,-,,-,2,,25,,2,,1,,"NEW YORK
(42.921241, -75.59655)",,20190111
IDAHO,2019,1,,-,0,,,-,,-,,-,13,,,-,1,,,-,6,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190151
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
FLORIDA,2019,1,,-,0,,,-,,-,,-,33,,,-,1,,,-,50,,,-,7,,"FLORIDA
(28.260731, -82.420978)",,20190131
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,19,,,-,,-,18,,43,,18,,9,,,NEW YORK CITY,20190112
WEST VIRGINIA,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,1,,,-,1,,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
MASSACHUSETTS,2019,1,,-,0,,,-,,-,,-,9,,,-,2,,1,,11,,1,,2,,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
KENTUCKY,2019,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,3,,,-,3,,"KENTUCKY
(37.526683, -85.290484)",,20190140
MOUNTAIN,2019,1,,-,0,,,-,,-,4,,58,,4,,9,,4,,36,,4,,11,,,MOUNTAIN,20190148
MONTANA,2019,1,,-,0,,,-,,-,,-,8,,,-,,-,,-,2,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190163
ARIZONA,2019,1,,-,0,,,-,,-,,-,11,,,-,,-,3,,21,,3,,6,,"ARIZONA
(34.293239, -111.664616)",,20190149
OKLAHOMA,2019,1,,-,0,,,-,,-,,-,37,,,-,,-,1,,6,,1,,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
NEW JERSEY,2019,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,17,,,-,5,,"NEW JERSEY
(40.110253, -74.655514)",,20190110
VIRGINIA,2019,1,,-,0,,,-,,-,,-,17,,,-,1,,,-,14,,,-,1,,"VIRGINIA
(37.510861, -78.666382)",,20190136
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
PACIFIC,2019,1,,-,0,,,-,,-,,-,61,,,-,6,,7,,168,,7,,44,,,PACIFIC,20190157
TENNESSEE,2019,1,,-,0,,,-,,-,,-,20,,,-,2,,,-,11,,,-,11,,"TENNESSEE
(35.842998, -86.343226)",,20190142
DISTRICT OF COLUMBIA,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,7,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
ILLINOIS,2019,1,,-,0,,,-,,-,,-,16,,,-,4,,,-,15,,,-,6,,"ILLINOIS
(40.124144, -89.148632)",,20190115
NEVADA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
NORTH CAROLINA,2019,1,,-,0,,,-,,-,,-,20,,,-,1,,,-,13,,,-,4,,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
ALABAMA,2019,1,,-,0,,,-,,-,,-,8,,,-,1,,,-,13,,,-,8,,"ALABAMA
(32.756889, -86.844516)",,20190139
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
ARKANSAS,2019,1,,-,0,,,-,,-,,-,7,,,-,,-,,-,9,,,-,2,,"ARKANSAS
(34.899825, -92.439162)",,20190144
SOUTH DAKOTA,2019,1,,-,0,,,-,,-,,-,34,,,-,3,,,-,3,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
